,NSW1,QLD1,SA1,TAS1,VIC1
2024-01-04 09:30:00,6639.74,6108.52,1162.28,1017.88,3824.08
2024-01-04 10:00:00,6863.62,5970.0,1173.92,991.67,3685.77
2024-01-04 10:30:00,7002.2,6012.71,1239.89,978.75,3590.8
2024-01-04 11:00:00,7072.2,5910.04,1194.08,974.42,3510.35
2024-01-04 11:30:00,7267.59,6024.27,991.2,945.93,3382.88
2024-01-04 12:00:00,8011.22,6226.76,915.11,921.95,3145.45
2024-01-04 12:30:00,8204.56,6403.42,823.62,931.49,2872.74
2024-01-04 13:00:00,8360.69,6463.96,779.23,920.58,2833.37
2024-01-04 13:30:00,8473.56,6686.65,783.15,942.07,2947.74
2024-01-04 14:00:00,8399.36,6882.99,888.83,958.11,3090.44
2024-01-04 14:30:00,8507.64,7234.43,974.75,984.49,3165.52
2024-01-04 15:00:00,8461.71,7531.87,1065.34,1024.15,3320.01
2024-01-04 15:30:00,8552.13,7756.73,1072.36,1070.25,3617.26
2024-01-04 16:00:00,8584.01,8223.59,1205.36,1084.19,3901.65
2024-01-04 16:30:00,8636.06,8573.11,1424.89,1124.18,4246.94
2024-01-04 17:00:00,8643.59,8815.6,1578.1,1140.88,4551.32
2024-01-04 17:30:00,8619.02,9035.5,1688.2,1158.94,4812.11
2024-01-04 18:00:00,8515.19,9036.88,1782.58,1149.04,4927.89
2024-01-04 18:30:00,8422.39,9083.22,1782.25,1150.16,4959.92
2024-01-04 19:00:00,8427.49,9037.81,1774.11,1148.38,4934.26
2024-01-04 19:30:00,8418.64,8920.68,1756.01,1149.79,4938.12
2024-01-04 20:00:00,8247.16,8732.85,1772.51,1158.03,4877.96
2024-01-04 20:30:00,7929.72,8520.1,1750.59,1163.6,4743.02
2024-01-04 21:00:00,7862.82,8223.06,1701.8,1154.01,4559.97
2024-01-04 21:30:00,7817.69,7921.81,1654.36,1137.34,4371.08
2024-01-04 22:00:00,7618.42,7599.47,1598.24,1112.71,4222.62
2024-01-04 22:30:00,7466.96,7268.7,1544.84,1093.23,4135.1
2024-01-04 23:00:00,7282.9,7051.63,1510.72,1086.9,4174.15
2024-01-04 23:30:00,7130.7,6818.81,1558.9,1070.62,4187.94
2024-01-05 00:00:00,6933.62,6622.0,1544.11,1059.05,4044.26
2024-01-05 00:30:00,6659.5,6446.03,1528.68,1059.41,3919.23
2024-01-05 01:00:00,6360.64,6377.32,1483.97,1052.56,3831.62
2024-01-05 01:30:00,6212.16,6222.86,1421.25,1052.23,3734.38
2024-01-05 02:00:00,6121.08,6150.56,1404.9,1040.22,3631.54
2024-01-05 02:30:00,6102.19,6094.95,1365.58,1037.48,3571.52
2024-01-05 03:00:00,6089.94,6057.47,1321.24,1053.46,3571.48
2024-01-05 03:30:00,6087.59,6100.56,1311.97,1044.67,3584.37
2024-01-05 04:00:00,6171.03,6097.84,1311.99,1080.71,3647.39
2024-01-05 04:30:00,6289.48,6144.41,1331.04,1092.21,3731.39
2024-01-05 05:00:00,6458.17,6157.36,1347.87,1109.6,3842.23
2024-01-05 05:30:00,6587.81,6182.53,1382.88,1126.17,3922.85
2024-01-05 06:00:00,6610.28,6151.06,1403.59,1135.92,4018.91
